"Step","SAbDab_Chen + DGL_GCN - MSE","SAbDab_Chen + DGL_GCN - MSE__MIN","SAbDab_Chen + DGL_GCN - MSE__MAX","SAbDab_Chen + Transformer - MSE","SAbDab_Chen + Transformer - MSE__MIN","SAbDab_Chen + Transformer - MSE__MAX","SAbDab_Chen + CNN_RNN - MSE","SAbDab_Chen + CNN_RNN - MSE__MIN","SAbDab_Chen + CNN_RNN - MSE__MAX","SAbDab_Chen + CNN - MSE","SAbDab_Chen + CNN - MSE__MIN","SAbDab_Chen + CNN - MSE__MAX"
"41","0.2234838595844847","0.2147985530397559","0.23216916612921346","0.14647419675506718","0.1428176169246602","0.15013077658547416","0.10724638965993843","0.10440879422829594","0.11008398509158093","0.09556970554459013","0.09521628096832557","0.09592313012085468"
"43","0.3079753597061513","0.263831672178552","0.3521190472337506","0.14789180646213124","0.14621457987852654","0.1495690330457359","0.11053969852813636","0.10867399746027695","0.11240539959599578","0.09606188711560332","0.09392733897634513","0.09819643525486152"
"45","0.21372336586819562","0.1944998055012095","0.23294692623518176","0.15044668229607555","0.1398420758870999","0.16105128870505117","0.1123284819481718","0.11126776303554714","0.11338920086079644","0.09575444541328446","0.09461644800497666","0.09689244282159223"
"47","0.24555571104214569","0.2363806624084138","0.2547307596758776","0.1468101661294838","0.13998027573680932","0.15364005652215829","0.11148835585512121","0.10745058906627766","0.11552612264396474","0.09524580332741278","0.09512037463297429","0.09537123202185128"
"49","0.2001700360738198","0.18952334546979177","0.21081672667784784","0.1454327691694099","0.1382252576465415","0.15264028069227828","0.11221203045812425","0.10912611610812054","0.11529794480812797","0.0963512024718755","0.09633144665464397","0.09637095828910702"
"51","0.2144034647054809","0.2113371792555153","0.21746975015544653","0.14532334564465732","0.13826919046970906","0.1523775008196056","0.11538785331915588","0.1054648465412029","0.12531086009710887","0.0988084196627643","0.09604526918609006","0.10157157013943852"
"53","0.24257591216223284","0.2147082696421277","0.270443554682338","0.1432813934263582","0.13733825798283955","0.1492245288698769","0.11130819563655965","0.10924987249631604","0.11336651877680326","0.09590416129716804","0.0954108822403506","0.09639744035398548"
"55","0.2685087510030973","0.19657218285213315","0.34044531915406145","0.1468941700531456","0.13714870294497622","0.156639637161315","0.11293539939667104","0.10879345901881607","0.117077339774526","0.09724938177239206","0.0957068393713869","0.09879192417339722"
"57","0.20561827074189748","0.2029754359092156","0.20826110557457933","0.14619770096913587","0.135615575136933","0.15677982680133873","0.11211027896591302","0.10921694261571699","0.11500361531610906","0.0964370436178473","0.0957075124077952","0.0971665748278994"
"59","0.1985703932518706","0.1764607336055396","0.2206800528982016","0.14213597917918303","0.13449203343536234","0.14977992492300368","0.11498568299680205","0.11022694829600868","0.11974441769759542","0.09723469517728947","0.0970732159252512","0.09739617442932774"
"61","0.22588089838227893","0.20055159893547672","0.25121019782908116","0.14356419713835494","0.13500399892553988","0.15212439535117003","0.11304070079392844","0.10987972633388134","0.11620167525397555","0.09928197142651643","0.09699711710119488","0.10156682575183798"
"63","0.20055406947821408","0.18902011026374402","0.21208802869268414","0.14262912247634668","0.13205957454411854","0.1531986704085748","0.11747130553074756","0.11485684666404151","0.12008576439745358","0.09665680576748348","0.09497230176102316","0.09834130977394381"
"65","0.24713440090910865","0.24170876578066694","0.2525600360375504","0.1428546337555792","0.1327273907879402","0.15298187672321817","0.12225750698883209","0.11488583927284597","0.12962917470481822","0.09772133158889346","0.09441097925736912","0.1010316839204178"
"67","0.31494519029837226","0.20137021879816416","0.4285201617985803","0.14207266571056537","0.13003630516278775","0.15410902625834302","0.11611941478600307","0.11596873287174768","0.11627009670025845","0.09720947573796654","0.09453817574059008","0.099880775735343"
"69","0.18696315905789107","0.17932616298362528","0.1946001551321569","0.14254239187818396","0.13690479821878987","0.14817998553757802","0.11939222854375142","0.11394289161896216","0.1248415654685407","0.0941832929821419","0.0924237574784935","0.09594282848579028"
"71","0.22697614427807167","0.2048189983547606","0.2491332902013827","0.13893706060452118","0.1305392028279117","0.14733491838113066","0.117784726111387","0.1143367461276045","0.1212327060951695","0.09470897226264621","0.09273928823357326","0.09667865629171918"
"73","0.22958934646324225","0.20046072204786883","0.2587179708786157","0.14033053378863283","0.13480546864769186","0.1458555989295738","0.12221312392861225","0.11633696953979418","0.12808927831743033","0.09205058573907685","0.08961965350852558","0.0944815179696281"
"75","0.2429757191902407","0.20249807495443842","0.28345336342604294","0.13686725061126676","0.12891094145009058","0.14482355977244293","0.1091371875380905","0.10883025745219185","0.10944411762398915","0.09755101225952381","0.09702807557321914","0.09807394894582848"
"77","0.25770773760135374","0.2326134903529041","0.28280198484980335","0.14135269074740492","0.13054539201748613","0.1521599894773237","0.11367527771974252","0.11131431303738983","0.11603624240209522","0.09539296680716662","0.09454135374140796","0.09624457987292528"
"79","0.2143117182684322","0.21040931715227237","0.21821411938459206","0.13643995661815253","0.12648744765836586","0.1463924655779392","0.11179221976995099","0.11083290288166067","0.1127515366582413","0.10010226759160688","0.0999316479485849","0.10027288723462886"
"81","0.22450783174079497","0.18930211205708758","0.25971355142450236","0.1384452555728729","0.13007298671556894","0.14681752443017684","0.11647908976047792","0.11570092739915212","0.11725725212180373","0.09708190380303636","0.09631454800890173","0.097849259597171"
"83","0.2355050456821172","0.20055921288529632","0.27045087847893806","0.13975973772032335","0.1274048577198797","0.15211461772076698","0.11410863571808674","0.11120630973403221","0.11701096170214126","0.09834964143897565","0.095499910196926","0.10119937268102529"
"85","0.20924485169033846","0.2078806350438247","0.21060906833685222","0.13980026495088316","0.1302070691623057","0.14939346073946064","0.11672480833293711","0.11577664304569366","0.11767297362018056","0.09644249012761585","0.09302236272047348","0.09986261753475824"
"87","0.19353951147683424","0.16630505988967093","0.22077396306399755","0.135188490260855","0.12837206765123962","0.14200491287047035","0.11669376444762046","0.11203520591538074","0.12135232297986018","0.09677872101341004","0.094823137919443","0.09873430410737709"
"89","0.2233058614743309","0.17765298274957125","0.26895874019909055","0.13520609115713794","0.12770721646126748","0.14270496585300843","0.11535305122251352","0.11179082609983867","0.11891527634518835","0.09674843998876932","0.09477131164268923","0.09872556833484941"
"91","0.21386116998194787","0.1743312483110097","0.25339109165288604","0.1350236524432158","0.12644131900940622","0.14360598587702536","0.11585094245380104","0.11458117778865132","0.11712070711895076","0.09646820141606127","0.09349765310030203","0.09943874973182053"
"93","0.1964968802758697","0.18991689854067773","0.20307686201106168","0.1376269590275072","0.1261898776491356","0.14906404040587878","0.11231323585850712","0.1114671688637387","0.11315930285327555","0.09527213615857788","0.09416738190362586","0.09637689041352991"
"95","0.2087332447138255","0.19063521500688071","0.2268312744207703","0.13921209606661716","0.1306185481785799","0.14780564395465443","0.11221174824553007","0.10561425680882551","0.11880923968223461","0.09524003862213432","0.09356192341010568","0.09691815383416295"
"97","0.21979522161132342","0.18596103901390565","0.2536294042087412","0.13542722134953264","0.12491150894082402","0.14594293375824124","0.11441160814449886","0.11256012059559153","0.11626309569340618","0.09419401432464641","0.0915924187340884","0.09679560991520444"
"99","0.22955637838668197","0.22512540876799975","0.23398734800536417","0.13627259624706922","0.12690497774050447","0.14564021475363398","0.11135496820317498","0.11121424098933905","0.11149569541701089","0.09305212575459484","0.09002349773913979","0.0960807537700499"
"101","0.23400735864030114","0.18571177615934942","0.28230294112125287","0.1373616990101878","0.13020602039197954","0.14451737762839603","0.1103759888041035","0.10738826234713589","0.11336371526107111","0.09985233024042317","0.09615601436620688","0.10354864611463944"
"103","0.22003742831416484","0.21263648008073138","0.22743837654759833","0.1344387315023739","0.13025323841686326","0.13862422458788456","0.10958695539229295","0.10772649662826113","0.11144741415632477","0.09576866273682855","0.0943541959330174","0.0971831295406397"
"105","0.2111513566278042","0.19483153933473235","0.22747117392087604","0.1332131219672802","0.12416782887355604","0.1422584150610043","0.11588094822914918","0.11368596088060681","0.11807593557769154","0.0947168911972735","0.09342893521765931","0.09600484717688768"
"107","0.223806221571691","0.22112746670932665","0.22648497643405532","0.13673687625205755","0.1285328383983366","0.1449409141057785","0.11692938478877099","0.11396714709227236","0.11989162248526963","0.09518268281702473","0.0940841239378197","0.09628124169622976"
"109","0.20989093825606392","0.18238506415506497","0.2373968123570629","0.13333030691160025","0.1274430882056917","0.13921752561750883","0.11170344806030985","0.10960926861745018","0.1137976275031695","0.09455277194482187","0.0938752548679236","0.09523028902172014"
"111","0.2160268938075107","0.2143173100487585","0.21773647756626288","0.1315230390030847","0.12638492911157012","0.13666114889459932","0.12036311066701418","0.11609145824057067","0.12463476309345768","0.09522808816753063","0.09359585639064297","0.0968603199444183"
"113","0.22557350962977527","0.18057521705181467","0.27057180220773586","0.13390415880798423","0.12895590733338266","0.13885241028258583","0.11357943907477565","0.10847634631948463","0.11868253183006666","0.09808428820744464","0.09746815930681227","0.09870041710807702"
"115","0.1955911944337656","0.17223132897961493","0.21895105988791627","0.13477905753200842","0.13030564298117042","0.13925247208284644","0.11718106046725872","0.10957142384028613","0.12479069709423131","0.092435168694455","0.09216014703274193","0.09271019035616807"
"117","0.19280283021148592","0.1780902054857489","0.20751545493722295","0.13385586113415915","0.13029648635139046","0.13741523591692786","0.1162137883990508","0.11558934542811798","0.11683823136998364","0.0943858037028961","0.09230442285205544","0.09646718455373678"
"119","0.20605768047712786","0.19326820373567644","0.2188471572185793","0.13950121777775795","0.13453433566941353","0.14446809988610237","0.11450462566702509","0.10927017308784051","0.11973907824620966","0.09964164043370863","0.09956447836288186","0.0997188025045354"
"121","0.2086468008979681","0.1846808743541965","0.23261272744173975","0.1334691537059311","0.12910445623044256","0.13783385118141966","0.11255838571646015","0.11046299167630112","0.11465377975661917","0.09625594551666966","0.09382301886436652","0.09868887216897282"
"123","0.21970674833683668","0.20007427461660734","0.23933922205706598","0.13433499248870168","0.12824468322306115","0.1404253017543422","0.11481643928945429","0.1110485061394423","0.11858437243946626","0.09587178935403268","0.09393208360085313","0.09781149510721224"
"125","0.21718440469281192","0.19080665678750178","0.24356215259812203","0.1374127708181545","0.1346784058112286","0.14014713582508043","0.1115000316133459","0.11126447373552323","0.11173558949116856","0.09312404116902029","0.0924989854632753","0.09374909687476529"
"127","0.1971135106261228","0.1879520154203492","0.2062750058318964","0.13741993033526717","0.13197045430026894","0.14286940637026543","0.10782647130449083","0.10724860973861788","0.10840433287036377","0.09498266765209949","0.09264711995500655","0.09731821534919244"
"129","0.20367727249074458","0.18835430114287555","0.21900024383861358","0.13631883915882495","0.1362804805383229","0.136357197779327","0.1101137297699952","0.10819065161868902","0.11203680792130137","0.09295578898646843","0.09190633299526814","0.09400524497766873"
"131","0.1832119322078852","0.17927750487409239","0.18714635954167802","0.13896644807484543","0.13696002024113071","0.1409728759085601","0.11283728527169326","0.11040716042233943","0.11526741012104709","0.0926127291187539","0.0905775551971876","0.09464790304032018"
"133","0.18763365659789133","0.17377271734362246","0.20149459585216023","0.1375797766470484","0.13595063622527034","0.1392089170688265","0.11240896799133801","0.10947231453321274","0.1153456214494633","0.09332707091982191","0.09150701354955734","0.09514712829008648"
"135","0.19752920841502455","0.18141706624561796","0.21364135058443115","0.13446572115426955","0.13301342142922395","0.13591802087931515","0.10961789512345325","0.10414954323173022","0.1150862470151763","0.09473154232776132","0.09329979739504089","0.09616328726048175"
"137","0.2840733382124476","0.20903685386828175","0.3591098225566135","0.1344029125498966","0.13166061458977285","0.13714521051002035","0.11413135776283385","0.11369517033213594","0.11456754519353177","0.09296158302082952","0.09086618438990558","0.09505698165175346"
