"Step","SAbDab_Liberis + Token_Transformer - training loss","SAbDab_Liberis + Token_Transformer - training loss__MIN","SAbDab_Liberis + Token_Transformer - training loss__MAX","SAbDab_Liberis + Token_CNN_RNN - training loss","SAbDab_Liberis + Token_CNN_RNN - training loss__MIN","SAbDab_Liberis + Token_CNN_RNN - training loss__MAX","SAbDab_Liberis + Token_CNN - training loss","SAbDab_Liberis + Token_CNN - training loss__MIN","SAbDab_Liberis + Token_CNN - training loss__MAX"
"148","0.07400922477245331","0.07386883348226547","0.07414961606264114","0.00007662209100089967","0.00007570876914542168","0.00007753541285637766","0.0029826218960806727","0.002272723475471139","0.0036925203166902065"
"150","0.07469229772686958","0.0743168294429779","0.07506776601076126","0.0001366887408948969","0.00003092662518611178","0.00024245085660368204","0.0036156948190182447","0.0032001067884266376","0.004031282849609852"
"152","0.07494067028164864","0.0747264102101326","0.07515493035316467","0.00008537192843505181","0.00003215127071598545","0.00013859258615411818","0.0029033777536824346","0.0024979899171739817","0.0033087655901908875"
"154","0.07476574927568436","0.0746641531586647","0.07486734539270401","0.00006064663830329664","0.000043988060497213155","0.00007730521610938013","0.0032563923159614205","0.0032079946249723434","0.0033047900069504976"
"156","0.0744965560734272","0.07409541308879852","0.07489769905805588","0.0013533738965634257","0.00005389103898778558","0.0026528567541390657","0.0032641415018588305","0.0025762543082237244","0.0039520286954939365"
"158","0.07416627556085587","0.07384102791547775","0.07449152320623398","0.00007623668716405518","0.000054041462135501206","0.00009843191219260916","0.004049052484333515","0.0032101660035550594","0.004887938965111971"
"160","0.07435096800327301","0.07344302535057068","0.07525891065597534","0.00011737433669622988","0.00011678955343086272","0.00011795911996159703","0.005067192716524005","0.004260133486241102","0.005874251946806908"
"162","0.07405029609799385","0.07348994165658951","0.0746106505393982","0.00011851111776195467","0.00009686932025942951","0.00014015291526447982","0.0034190386068075895","0.002617578487843275","0.004220498725771904"
"164","0.07381018996238708","0.07332383096218109","0.07429654896259308","0.00041591155240894295","0.00005071872874395922","0.0007811043760739267","0.0031539604533463717","0.002841837704181671","0.003466083202511072"
"166","0.07472668588161469","0.07391499727964401","0.07553837448358536","0.00016615887579973787","0.00008954961958806962","0.00024276813201140612","0.0024673170992173254","0.0017368633998557925","0.0031977707985788584"
"168","0.07315192371606827","0.07299989461898804","0.0733039528131485","0.00007031000859569758","0.00005582342419074848","0.00008479659300064668","0.0031001202296465635","0.002821905305609107","0.00337833515368402"
"170","0.07486294582486153","0.07456314563751221","0.07516274601221085","0.000054998972700559534","0.00004386694126878865","0.00006613100413233042","0.003181819338351488","0.0028979023918509483","0.003465736284852028"
"172","0.07397457584738731","0.0733792632818222","0.07456988841295242","0.00007981446560734184","0.00002758543450909201","0.00013204349670559168","0.00344904453959316","0.002599617699161172","0.004298471380025148"
"174","0.07305090501904488","0.07196415215730667","0.07413765788078308","0.00010215263864665758","0.000049545862566446885","0.00015475941472686827","0.0030263417866081","0.002526242518797517","0.003526441054418683"
"176","0.07384530454874039","0.07284501940011978","0.07484558969736099","0.0002938597808679333","0.000016382731701014563","0.000571336830034852","0.0036557276034727693","0.003031071973964572","0.004280383232980967"
"178","0.07355037704110146","0.07288006693124771","0.0742206871509552","0.0001452081742172595","0.00011604428436839953","0.0001743720640661195","0.0053083638194948435","0.005019098054617643","0.005597629584372044"
"180","0.07351227849721909","0.07341527193784714","0.07360928505659103","0.00040553098006057553","0.00004077716585015878","0.0007702847942709923","0.006392775685526431","0.003839958691969514","0.008945592679083347"
"182","0.0748252123594284","0.07335641235113144","0.07629401236772537","0.0007916293570815469","0.00001674585473665502","0.0015665128594264388","0.006002773414365947","0.0028368716593831778","0.009168675169348717"
"184","0.07321995124220848","0.07181328535079956","0.0746266171336174","0.0002367863926338032","0.00022874836577102542","0.00024482441949658096","0.008327424060553312","0.005458018742501736","0.011196829378604889"
"186","0.07404732704162598","0.07377190887928009","0.07432274520397186","0.00039956352975423215","0.000017316973753622733","0.0007818100857548416","0.010019641602411866","0.007213709410279989","0.012825573794543743"
"188","0.07407429441809654","0.07295653969049454","0.07519204914569855","0.00001794369450180966","0.000006303851023403695","0.000029583537980215624","0.007630239240825176","0.004285958595573902","0.01097451988607645"
"190","0.07481148466467857","0.07327181845903397","0.07635115087032318","0.000030655719456262887","0.000019177932699676603","0.00004213350621284917","0.007711005746386945","0.003024222096428275","0.012397789396345615"
"192","0.0732785165309906","0.072109654545784","0.0744473785161972","0.00017901461615110748","0.000033152980904560536","0.0003248762513976544","0.002422058954834938","0.001990550197660923","0.002853567712008953"
"194","0.07325487956404686","0.07213243097066879","0.07437732815742493","0.00025068466129596345","0.00009752934420248494","0.00040383997838944197","0.002975241281092167","0.0024098034482449293","0.0035406791139394045"
"196","0.07254103571176529","0.0708317831158638","0.07425028830766678","0.00003934264441340929","0.000029826280297129415","0.00004885900852968916","0.002016672631725669","0.0019739314448088408","0.002059413818642497"
"198","0.0733606107532978","0.0726432129740715","0.07407800853252411","0.00009000044519780204","0.000026782247005030513","0.00015321864339057356","0.0021017291583120823","0.0017325128428637981","0.0024709454737603664"
"200","0.07360723242163658","0.07290113717317581","0.07431332767009735","0.00007398989509965759","0.000019683353457367048","0.00012829643674194813","0.0020243797334842384","0.00177560665179044","0.0022731528151780367"
"202","0.07287099584937096","0.07159678637981415","0.07414520531892776","0.000028876862415927462","0.000026351812266511843","0.00003140191256534308","0.0020667053177021444","0.001946461503393948","0.0021869491320103407"
"204","0.07320288941264153","0.07194428145885468","0.07446149736642838","0.000043692823965102434","0.000031580260838381946","0.00005580538709182292","0.002157295064534992","0.0016209540190175176","0.0026936361100524664"
"206","0.07319213449954987","0.0713464617729187","0.07503780722618103","0.00009319750461145304","0.00007520939834648743","0.00011118561087641865","0.0020093053462915123","0.0017012091120705009","0.0023174015805125237"
"208","0.07289539650082588","0.07175213098526001","0.07403866201639175","0.00004751682536152657","0.00004624917346518487","0.000048784477257868275","0.001853443682193756","0.001786428620107472","0.0019204587442800403"
"210","0.07251140475273132","0.07182105630636215","0.0732017531991005","0.00007664510121685453","0.00007241791172418743","0.00008087229070952162","0.001963321410585195","0.0013880775077268481","0.0025385653134435415"
"212","0.07221299037337303","0.07118252664804459","0.07324345409870148","0.00008917724881030153","0.00004336652273195796","0.0001349879748886451","0.001854889385867864","0.0015564780915156007","0.002153300680220127"
"214","0.07273668795824051","0.07200228422880173","0.07347109168767929","0.00001735239152367285","0.000006713426500937203","0.000027991356546408497","0.0013282508589327335","0.0011663184268400073","0.0014901832910254598"
"216","0.07261526584625244","0.07252822071313858","0.0727023109793663","0.00006455543734773528","0.000042711228161351755","0.0000863996465341188","0.002252063131891191","0.0015850178897380829","0.002919108374044299"
"218","0.07273392751812935","0.07216158509254456","0.07330626994371414","0.0001531266279926058","0.00006780679541407153","0.00023844646057114005","0.002216154127381742","0.0021974164992570877","0.0022348917555063963"
"220","0.07216081395745277","0.07133858650922775","0.0729830414056778","0.00009348723688162863","0.00006777772068744525","0.00011919675307581201","0.0014342408394441009","0.0014029471203684807","0.001465534558519721"
"222","0.07345344126224518","0.0727676972746849","0.07413918524980545","0.0005221387255005538","0.00006729818414896727","0.0009769792668521404","0.001980014145374298","0.0012935739941895008","0.0026664542965590954"
"224","0.07167692482471466","0.0708434134721756","0.07251043617725372","0.00042618279985617846","0.0003893309913109988","0.00046303460840135813","0.0018149796524085104","0.0012422172585502267","0.002387742046266794"
"226","0.07197678461670876","0.07123906910419464","0.07271450012922287","0.00023509530728915706","0.00019186724966857582","0.0002783233649097383","0.0017221244052052498","0.0014407215639948845","0.002003527246415615"
"228","0.07150207087397575","0.07076045870780945","0.07224368304014206","0.00034910848262370564","0.00006247213605092838","0.0006357448291964829","0.0019706939347088337","0.0015830532647669315","0.002358334604650736"
"230","0.07213063538074493","0.07178853452205658","0.07247273623943329","0.00013248592358650058","0.00001268476898985682","0.00025228707818314433","0.0016877156449481845","0.001333065563812852","0.002042365726083517"
"232","0.07248056679964066","0.0715356320142746","0.07342550158500671","0.00009993643470807001","0.0000034328404581174254","0.0001964400289580226","0.0021577742882072926","0.001347714802250266","0.002967833774164319"
"234","0.07213785871863365","0.0712738037109375","0.0730019137263298","0.000033882637580973096","0.000033837248338386416","0.000033928026823559776","0.002022639790084213","0.001574789290316403","0.002470490289852023"
"236","0.0711422897875309","0.07098641246557236","0.07129816710948944","0.000023572836653329432","0.000011186835763510317","0.00003595883754314855","0.0014138795086182654","0.001251624315045774","0.0015761347021907568"
"238","0.07163205742835999","0.07087241113185883","0.07239170372486115","0.00017863090033642948","0.0001482051593484357","0.00020905664132442325","0.0013560933875851333","0.0013504567323252559","0.0013617300428450108"
"240","0.0714615061879158","0.07100945711135864","0.07191355526447296","0.0001458386323065497","0.0001060323411365971","0.0001856449234765023","0.001638103392906487","0.0014421648811548948","0.0018340419046580791"
"242","0.07214999943971634","0.07114798575639725","0.07315201312303543","0.0001090357945940923","0.00002177310670958832","0.00019629848247859627","0.0023583995644003153","0.002003318164497614","0.0027134809643030167"
"244","0.07286608219146729","0.07228905707597733","0.07344310730695724","0.00007154893683036789","0.00001715109101496637","0.00012594678264576942","0.002652916591614485","0.0020509299356490374","0.003254903247579932"
"246","0.07215141505002975","0.07126570492982864","0.07303712517023087","0.0001445982270524837","0.0001409777905791998","0.00014821866352576762","0.0019912929856218398","0.0012727220309898257","0.002709863940253854"
"248","0.07125808671116829","0.07046017795801163","0.07205599546432495","0.00012024795796605758","0.00007056524191284552","0.00016993067401926965","0.001982144662179053","0.001955189974978566","0.0020090993493795395"
"250","0.07095656171441078","0.07022175192832947","0.0716913715004921","0.0004311035227146931","0.0001431798009434715","0.0007190272444859147","0.002144788100849837","0.001924247364513576","0.002365328837186098"
"252","0.07217669486999512","0.07162734866142273","0.0727260410785675","0.00020543564824038185","0.00003377613757038489","0.0003770951589103788","0.002207973855547607","0.0021993794944137335","0.0022165682166814804"
"254","0.0719509981572628","0.07038527727127075","0.07351671904325485","0.00003533295057422947","0.000018638733308762312","0.00005202716783969663","0.0015670323045924306","0.001446794718503952","0.0016872698906809092"
"256","0.07284951582551003","0.07224396616220474","0.07345506548881531","0.000022351740881276783","0.00002196568311774172","0.000022737798644811846","0.0027381025720387697","0.0023317120503634214","0.003144493093714118"
"258","0.0721147172152996","0.07120487838983536","0.07302455604076385","0.00005312435678206384","0.000047121102397795767","0.00005912761116633192","0.0017230905359610915","0.0013924047816544771","0.002053776290267706"
"260","0.0722801573574543","0.07162467390298843","0.07293564081192017","0.00010492839646758512","0.00003358667891006917","0.00017627011402510107","0.0019220688845962286","0.001775848912075162","0.0020682888571172953"
"262","0.07175563648343086","0.07168565690517426","0.07182561606168747","0.0001373215600324329","0.0000827397670946084","0.0001919033529702574","0.0016838297597132623","0.0016546548577025533","0.0017130046617239714"
"264","0.07219667360186577","0.07065518200397491","0.07373816519975662","0.00005295613368616614","0.000004749899289890891","0.00010116236808244139","0.0018887610058300197","0.0017488767625764012","0.002028645249083638"
"266","0.07090213522315025","0.07029745727777481","0.0715068131685257","0.000037893794797128066","0.000013989258150104433","0.0000617983314441517","0.0021712545421905816","0.0019078523619100451","0.002434656722471118"
"268","0.07129694148898125","0.0702848881483078","0.0723089948296547","0.00024175634007406188","0.000020570272681652568","0.0004629424074664712","0.001762007363140583","0.001676906831562519","0.001847107894718647"
"270","0.07095031440258026","0.07030773162841797","0.07159289717674255","0.00006788582504668739","0.00006098938683862798","0.0000747822632547468","0.0016655235667712986","0.0012436717515811324","0.002087375381961465"
"272","0.07116195932030678","0.07040027529001236","0.0719236433506012","0.00008399359103350434","0.000027070553187513724","0.00014091662887949497","0.00197238358668983","0.0017723524942994118","0.002172414679080248"
"274","0.07083454355597496","0.07036750763654709","0.07130157947540283","0.0003668138560897205","0.00009739102824823931","0.0006362366839312017","0.0020867051789537072","0.0012792423367500305","0.002894168021157384"
"276","0.07104715704917908","0.0699378103017807","0.07215650379657745","0.00015402569079014938","0.000038355003198375925","0.00026969637838192284","0.003537263779435307","0.0017225771443918347","0.005351950414478779"
"278","0.07068949937820435","0.06967354565858841","0.07170545309782028","0.0001439871539332671","0.000043448959331726655","0.00024452534853480756","0.002056146040558815","0.0018676365725696087","0.0022446555085480213"
"280","0.07143215462565422","0.07035262882709503","0.07251168042421341","0.00005025323662266601","0.00002446842336212285","0.00007603804988320917","0.0019392845570109785","0.0018709023715928197","0.0020076667424291372"
"282","0.07177618891000748","0.07125381380319595","0.072298564016819","0.00008868244367477018","0.00002776702240225859","0.00014959786494728178","0.002727423678152263","0.002077104989439249","0.0033777423668652773"
"284","0.07184217870235443","0.07137277722358704","0.07231158018112183","0.000306389822071651","0.000043810643546748906","0.0005689690005965531","0.0023694800911471248","0.002294534584507346","0.0024444255977869034"
"286","0.07214973866939545","0.07175549864768982","0.07254397869110107","0.0003215414362784941","0.00006883856985950842","0.0005742443026974797","0.002114498522132635","0.0018964807968586683","0.002332516247406602"
"288","0.07047636434435844","0.06971418112516403","0.07123854756355286","0.00012296808563405648","0.00009829875489231199","0.00014763741637580097","0.001842483296059072","0.0015496304258704185","0.0021353361662477255"
"290","0.07237343490123749","0.07118295878171921","0.07356391102075577","0.00022977798835199792","0.00005758818952017464","0.0004019677871838212","0.003888114937581122","0.0037476380821317434","0.0040285917930305"
"292","0.07133257389068604","0.0711144357919693","0.07155071198940277","0.00002641615446918877","0.000019899305698345415","0.00003293300324003212","0.0018538199947215617","0.0015705331461504102","0.002137106843292713"
"294","0.07098906114697456","0.06991135329008102","0.0720667690038681","0.00007019804615993053","0.00004835050640394911","0.00009204558591591194","0.0022209046874195337","0.002206834265962243","0.0022349751088768244"
"296","0.0715620145201683","0.07002711296081543","0.07309691607952118","0.00016836450959090143","0.00013211439363658428","0.0002046146255452186","0.0030917112017050385","0.0030227729585021734","0.0031606494449079037"
"298","0.07070866599678993","0.07004528492689133","0.07137204706668854","0.00006832728740846505","0.000011229623851249926","0.00012542495096568018","0.0021968932123854756","0.0017446456477046013","0.00264914077706635"
