"Step","CRISPR + DGL_GCN - training loss","CRISPR + DGL_GCN - training loss__MIN","CRISPR + DGL_GCN - training loss__MAX","CRISPR + Transformer - training loss","CRISPR + Transformer - training loss__MIN","CRISPR + Transformer - training loss__MAX","CRISPR + CNN_RNN - training loss","CRISPR + CNN_RNN - training loss__MIN","CRISPR + CNN_RNN - training loss__MAX","CRISPR + CNN - training loss","CRISPR + CNN - training loss__MIN","CRISPR + CNN - training loss__MAX"
"56","0.04606805182993412","0.04212057590484619","0.05001552775502205","0.0037466540234163404","0.002307801740244031","0.00518550630658865","0.006355663761496544","0.004509443417191505","0.008201884105801582","0.0018553378176875412","0.0017838259227573872","0.0019268497126176953"
"58","0.01840550545603037","0.01581840217113495","0.02099260874092579","0.005637753289192915","0.003801331389695406","0.007474175188690424","0.012538447510451078","0.005709434859454632","0.019367460161447525","0.0026968884631060064","0.001792420749552548","0.003601356176659465"
"60","0.01096993638202548","0.009430024772882462","0.012509847991168499","0.011555821634829044","0.01019611582159996","0.012915527448058128","0.009507207665592432","0.0044695669785141945","0.01454484835267067","0.0036676236195489764","0.0018629988189786673","0.005472248420119286"
"62","0.02453662920743227","0.013247402384877205","0.035825856029987335","0.0060667358338832855","0.005040441174060106","0.007093030493706465","0.008418358862400055","0.005360321141779423","0.011476396583020687","0.0013090746942907572","0.0009578812168911099","0.0016602681716904044"
"64","0.012652385979890823","0.012063568457961082","0.013241203501820564","0.006936179241165519","0.006056381855159998","0.00781597662717104","0.010462494567036629","0.007453940808773041","0.013471048325300217","0.001372100625303574","0.0002933087816927582","0.0024508924689143896"
"66","0.011698688380420208","0.008844000287353992","0.014553376473486423","0.00749707967042923","0.006970307789742947","0.008023851551115513","0.010826854268088937","0.007776881102472544","0.01387682743370533","0.001997267361730337","0.0018816445954144","0.002112890128046274"
"68","0.018455814803019166","0.007328404579311609","0.029583225026726723","0.00757732056081295","0.004770814441144466","0.010383826680481434","0.016376271843910217","0.013953490182757378","0.018799053505063057","0.002544239890994504","0.0009477721177972853","0.004140707664191723"
"70","0.023859821259975433","0.01644735038280487","0.031272292137145996","0.0033970222575590014","0.0021602606866508722","0.004633783828467131","0.004180022748187184","0.0041657485999166965","0.004194296896457672","0.0008507494640070945","0.0008505175355821848","0.0008509813924320042"
"72","0.027045334689319134","0.018584715202450752","0.035505954176187515","0.009886721265502274","0.002964992308989167","0.01680845022201538","0.006344314897432923","0.0044233533553779125","0.008265276439487934","0.001380238973069936","0.0008378328057006001","0.001922645140439272"
"74","0.018963027745485306","0.01766885444521904","0.02025720104575157","0.007747314521111548","0.0025433918926864862","0.01295123714953661","0.008647351176477969","0.003134890692308545","0.014159811660647392","0.0011353469744790345","0.00036853220080956817","0.001902161748148501"
"76","0.03044343087822199","0.024973655119538307","0.03591320663690567","0.0075959316454827785","0.0066931648179888725","0.008498698472976685","0.020313919987529516","0.008192493580281734","0.0324353463947773","0.0006028138232068159","0.00018221298523712903","0.0010234146611765027"
"78","0.02205108804628253","0.01546668354421854","0.02863549254834652","0.011023278348147869","0.010417209006845951","0.011629347689449787","0.007185676833614707","0.0034309434704482555","0.010940410196781158","0.0006617350300075486","0.00040568530675955117","0.0009177847532555461"
"80","0.01609711768105626","0.013940759934484959","0.018253475427627563","0.010033808648586273","0.008557501249015331","0.011510116048157215","0.011420614086091518","0.009986446239054203","0.012854781933128834","0.001561288780067116","0.0010873054852709174","0.0020352720748633146"
"82","0.021533607505261898","0.015059206634759903","0.028008008375763893","0.0048583499155938625","0.004673497751355171","0.005043202079832554","0.007345206802710891","0.004837738815695047","0.009852674789726734","0.0005615340996882878","0.00023549665638711303","0.0008875715429894626"
"84","0.02446665894240141","0.011141719296574593","0.037791598588228226","0.012306487886235118","0.007079418282955885","0.01753355748951435","0.005949816084466875","0.002524298382923007","0.009375333786010742","0.0008819852082524449","0.0006582678179256618","0.001105702598579228"
"86","0.03201963100582361","0.020517362281680107","0.04352189972996712","0.003548563807271421","0.0033591920509934425","0.0037379355635493994","0.008757665753364563","0.006353085860610008","0.011162245646119118","0.0004346718924352899","0.0003459589497651905","0.0005233848351053894"
"88","0.014897535555064678","0.011812770739197731","0.017982300370931625","0.005601869430392981","0.004935446195304394","0.006268292665481567","0.013293887954205275","0.010885619558393955","0.015702156350016594","0.0005778234917670488","0.0005074275541119277","0.0006482194294221699"
"90","0.02585411723703146","0.014785261824727058","0.03692297264933586","0.00807303236797452","0.00763870682567358","0.00850735791027546","0.006918490864336491","0.001197746954858303","0.012639234773814678","0.0006256847991608083","0.0003655495820567012","0.0008858200162649155"
"92","0.022524435073137283","0.015054766088724136","0.02999410405755043","0.007403514813631773","0.006108151748776436","0.00869887787848711","0.005349689396098256","0.0033870195038616657","0.0073123592883348465","0.0008209896623156965","0.0006972792325541377","0.0009447000920772552"
"94","0.03027848619967699","0.024744102731347084","0.0358128696680069","0.004430019820574671","0.0013595145428553224","0.00750052509829402","0.006125861895270646","0.001041455427184701","0.01121026836335659","0.00032309240486938506","0.00027674195007421076","0.00036944285966455936"
"96","0.029452632181346416","0.01964973844587803","0.039255525916814804","0.007528756046667695","0.004673763643950224","0.010383748449385166","0.007444002665579319","0.003118447959423065","0.011769557371735573","0.0005162007873877883","0.00027856434462592006","0.0007538372301496565"
"98","0.013615272473543882","0.009943810291588306","0.01728673465549946","0.005326370242983103","0.004371024202555418","0.006281716283410788","0.0034826856572180986","0.003022408112883568","0.0039429632015526295","0.0005443817790364847","0.0004294316458981484","0.0006593319121748209"
"100","0.008415254531428218","0.006222738418728113","0.010607770644128323","0.0038941316306591034","0.0023058862425386906","0.005482377018779516","0.009965122793801129","0.0030903725419193506","0.016839873045682907","0.00033197025186382234","0.00026152320788241923","0.00040241729584522545"
"102","0.017868762370198965","0.010834074579179287","0.024903450161218643","0.01036362024024129","0.007953565567731857","0.012773674912750721","0.011028184555470943","0.008695730939507484","0.013360638171434402","0.00023366855748463422","0.00014181953156366944","0.000325517583405599"
"104","0.03635714016854763","0.020189210772514343","0.05252506956458092","0.0029361324850469828","0.0021187886595726013","0.003753476310521364","0.01117963739670813","0.007203418295830488","0.015155856497585773","0.0010943419329123572","0.000313425698550418","0.0018752581672742963"
"106","0.0127353654243052","0.01121478620916605","0.014255944639444351","0.006006171694025397","0.005184801761060953","0.0068275416269898415","0.011963759316131473","0.003966422285884619","0.019961096346378326","0.00043151440331712365","0.0003940174065064639","0.0004690114001277834"
