"Step","PPI_Affinity + DGL_GAT - R2","PPI_Affinity + DGL_GAT - R2__MIN","PPI_Affinity + DGL_GAT - R2__MAX","PPI_Affinity + CNN_RNN - R2","PPI_Affinity + CNN_RNN - R2__MIN","PPI_Affinity + CNN_RNN - R2__MAX","PPI_Affinity + Transformer - R2","PPI_Affinity + Transformer - R2__MIN","PPI_Affinity + Transformer - R2__MAX","PPI_Affinity + CNN - R2","PPI_Affinity + CNN - R2__MIN","PPI_Affinity + CNN - R2__MAX"
"55","0.24345054257036752","0.23294736646923217","0.25395371867150285","0.5541682905298213","0.5538633244756392","0.5544732565840034","0.5494377680458776","0.5362010890591686","0.5626744470325866","0.4999001378820308","0.4942648006117054","0.5055354751523562"
"57","0.22520201025760272","0.1984481757781759","0.2519558447370296","0.5675474160407916","0.5633736000023452","0.5717212320792382","0.5456017033828089","0.5364174515049388","0.5547859552606789","0.5002673440215678","0.4956006770956482","0.5049340109474875"
"59","0.22946601840741668","0.22358537275251567","0.2353466640623177","0.5616889995104437","0.5420970880543016","0.5812809109665857","0.546719362731922","0.5385815450865253","0.5548571803773188","0.4992834588168927","0.49455760824295925","0.5040093093908261"
"61","0.22559392563645114","0.22327839238501554","0.22790945888788672","0.547157536075083","0.537940643613845","0.556374428536321","0.551602930362826","0.543264134059968","0.5599417266656841","0.5020327406760126","0.49602404904912467","0.5080414323029003"
"63","0.2336713250431258","0.22862687616670432","0.23871577391954726","0.5646658144338474","0.5525003338952527","0.5768312949724421","0.55395181510362","0.5489325202719513","0.5589711099352889","0.5037488461743471","0.49803028254689274","0.5094674098018015"
"65","0.2442869817299957","0.2416467960341342","0.24692716742585719","0.563089561857623","0.5506884276955073","0.5754906960197388","0.5461789584868415","0.5339012771872685","0.5584566397864146","0.5035526116422138","0.49877152222813553","0.508333701056292"
"67","0.2266650747866335","0.22218442249713347","0.2311457270761335","0.571455564910663","0.5557473564133153","0.5871637734080106","0.5503735360354745","0.5441053915392756","0.5566416805316732","0.5075607190713907","0.50059846828729","0.5145229698554914"
"69","0.2654087677419447","0.24928998494088858","0.2815275505430009","0.5712116676675926","0.5703665793718242","0.5720567559633609","0.5529281130072119","0.5481591776586248","0.5576970483557989","0.508262591250901","0.5019822532152471","0.5145429292865549"
"71","0.255223646411202","0.24976981890051575","0.2606774739218883","0.5699437005347238","0.5461953512853932","0.5936920497840543","0.5511712734386679","0.546911053142112","0.5554314937352238","0.5096251671467754","0.5040198551736197","0.5152304791199311"
"73","0.25401812531521106","0.2237914183263312","0.284244832304091","0.5908057950326503","0.5795177727181338","0.6020938173471668","0.555122071876312","0.5490941020172859","0.5611500417353381","0.508940118560018","0.5037461272491918","0.5141341098708443"
"75","0.2670736483477296","0.2644084078584174","0.2697388888370418","0.588182184081544","0.5661039838203064","0.6102603843427816","0.5569272512230867","0.5565869415266637","0.5572675609195099","0.5115487030276085","0.5081007758860572","0.5149966301691598"
"77","0.2673969247606304","0.26718299344605273","0.26761085607520807","0.5842931783846484","0.5647650830066819","0.603821273762615","0.5591939557470287","0.5586476988435025","0.559740212650555","0.5134159110798995","0.506829890151552","0.5200019320082468"
"79","0.22756973969462874","0.19891719550682146","0.256222283882436","0.5856295876773855","0.5584245555284852","0.6128346198262857","0.558495449744205","0.5555822450146052","0.5614086544738047","0.5143132486550228","0.5070979626417071","0.5215285346683384"
"81","0.2641800976931533","0.25523821389828993","0.27312198148801675","0.588954107296852","0.581397469206252","0.5965107453874521","0.5581457461566682","0.554835734374816","0.5614557579385204","0.5127492701111352","0.5064086328570943","0.5190899073651762"
"83","0.2577770110533017","0.24836879599544157","0.26718522611116186","0.5902711364164827","0.5751082793764746","0.6054339934564907","0.556870548309297","0.5524593070226504","0.5612817895959437","0.5156511543525354","0.5089394561402002","0.5223628525648706"
"85","0.2478626209881114","0.24567356776408866","0.25005167421213415","0.6009053796052599","0.5886617848146722","0.6131489743958476","0.5600421230190982","0.5566268691086629","0.5634573769295335","0.5158683039630112","0.5090256433288898","0.5227109645971326"
"87","0.25504955905548576","0.2504103056263426","0.25968881248462894","0.6066722922379164","0.5976011058928447","0.6157434785829881","0.5622878660816258","0.5561819506994312","0.5683937814638205","0.516946211571477","0.5118729259668586","0.5220194971760954"
"89","0.2734797939719492","0.2653989983622749","0.2815605895816235","0.6015531843890087","0.5997219316789627","0.6033844370990549","0.566603708722146","0.5619119636045634","0.5712954538397288","0.5187561435068813","0.5145565403119267","0.5229557467018359"
"91","0.24883098612796922","0.21309710380647098","0.2845648684494675","0.6040278213415178","0.5688301807929311","0.6392254618901044","0.565967206896971","0.5547475555917244","0.5771868582022176","0.5174686808608937","0.5122039694580318","0.5227333922637557"
"93","0.26157615117303806","0.2520793418980511","0.27107296044802504","0.6070671437900393","0.5995286492421051","0.6146056383379735","0.5636759327467964","0.5586655102588609","0.568686355234732","0.5191154425457674","0.5123462303597011","0.5258846547318335"
"95","0.2591409014319854","0.2529997413922648","0.2652820614717061","0.6016305344667108","0.6010638165891411","0.6021972523442805","0.5685832395615575","0.5633554791416132","0.5738109999815019","0.5218932399882366","0.5155118633472187","0.5282746166292546"
"97","0.26612049641830815","0.23681286317894829","0.29542812965766796","0.6203991879641971","0.6027068916541929","0.6380914842742014","0.566276426774051","0.5601907122586323","0.5723621412894697","0.5233427586664867","0.518936364473377","0.5277491528595963"
"99","0.2519166570983783","0.24952498169076553","0.25430833250599105","0.6035087492458984","0.5797302355840392","0.6272872629077574","0.5691974314886318","0.5643350993590754","0.5740597636181881","0.5244158586402863","0.5196982955864959","0.5291334216940767"
"101","0.295130585965552","0.2749817668783003","0.3152794050528036","0.6271362512488465","0.6153341550318283","0.6389383474658648","0.569464970877327","0.5668799822013946","0.5720499595532592","0.5255913070137846","0.5217367072454864","0.5294459067820829"
"103","0.2806611585414792","0.27453545627392656","0.28678686080903193","0.6192806365087914","0.6133956106045353","0.6251656624130475","0.5696707427832964","0.5650748582862941","0.5742666272802988","0.5272252221504898","0.5243416218890017","0.5301088224119781"
"105","0.26356480868179566","0.2514495661921623","0.2756800511714291","0.604552359926765","0.6033808380228108","0.6057238818307191","0.5691516062923906","0.5616599579140167","0.5766432546707645","0.5273504041872957","0.5235271303705007","0.5311736780040908"
"107","0.27872499037047394","0.2710589489171827","0.2863910318237652","0.6108610656311817","0.6099456086941057","0.6117765225682577","0.5611180642374347","0.5510825751618429","0.5711535533130265","0.5284446775883314","0.5235010143237503","0.5333883408529125"
"109","0.2635242727069216","0.23572490936296628","0.2913236360508769","0.6387845353699102","0.6262373917303203","0.6513316790095001","0.5698350562142722","0.5663971768133442","0.5732729356152002","0.5310012503012705","0.5265345681156508","0.5354679324868903"
"111","0.2827838569739186","0.2685781870711816","0.2969895268766556","0.6159410968812458","0.5946173334506147","0.6372648603118768","0.5742385585552301","0.5736366842290517","0.5748404328814085","0.5344250389197754","0.5297267698071174","0.5391233080324335"
"113","0.2866728121721567","0.26406980699749394","0.30927581734681936","0.6350840299244818","0.6345717524248073","0.6355963074241563","0.5725282680133559","0.5639696144089928","0.5810869216177188","0.5354606168527569","0.5327715627322704","0.5381496709732433"
"115","0.2924805349168734","0.2852361495470842","0.29972492028666264","0.6249954021241446","0.6133650901850166","0.6366257140632727","0.5721406972721516","0.5621789544641282","0.5821024400801749","0.5344242205185137","0.529937431930939","0.5389110091060885"
"117","0.27209901480273635","0.23762147719677046","0.30657655240870224","0.6214290235442034","0.606520628915677","0.6363374181727297","0.569301263090534","0.5574977657639711","0.5811047604170968","0.5371538193460573","0.5333280313178241","0.5409796073742905"
"119","0.3195918129918636","0.29345453145903555","0.3457290945246917","0.6392784865125046","0.6134101218566294","0.6651468511683799","0.5722944544944708","0.5642848108809158","0.5803040981080259","0.5398430190722725","0.5358231399546505","0.5438628981898945"
"121","0.3089813641170721","0.2856509315155111","0.33231179671863315","0.6361607747782465","0.6211113521922763","0.6512101973642166","0.5724240111006635","0.5648854547618062","0.579962567439521","0.5388988306939422","0.5369091185875753","0.540888542800309"
"123","0.3056567784545069","0.29574488457585174","0.31556867233316205","0.6404074168627576","0.6350352050659274","0.6457796286595879","0.5783903831926996","0.573960211259125","0.5828205551262743","0.5430157205176358","0.5398317182991388","0.5461997227361328"
"125","0.308038789061679","0.2724776504597271","0.34359992766363084","0.6340430898193404","0.6180637221059389","0.650022457532742","0.5793494452895722","0.5677162202429996","0.5909826703361447","0.5455288665669233","0.5411175822404872","0.5499401508933593"
